Recipe Name,Materials Needed [1],Obtained From [1],Item Sell Price [1]
Modern Wood Wall,5x wood5x softwood5x hardwood,Snooty island resident Message in a bottle,1800
Money Flooring,"1x bag of 50,000 bells",Snooty island resident Message in a bottle,25000
Mush Wall,1x elegant mushroom1x round mushroom1x skinny mushroom1x flat mushroom,Balloon during Mushrooming Season,21400
Orange Rug,6x orange,Lazy island resident Message in a bottle,1200
Orange Wall,20x orange,Lazy island resident Message in a bottle,4000
Peach Rug,6x peach,Normal island resident Message in a bottle,1200
Peach Wall,20x peach,Normal island resident Message in a bottle,4000
Pear Rug,6x pear,Jock island resident Message in a bottle,1200
Pear Wall,20x pear,Jock island resident Message in a bottle,4000
Rustic-Stone Wall,5x stone5x clay,Snooty island resident Message in a bottle,1750
Sakura-Wood Flooring,5x cherry-blossom petal10x wood,Balloon during Cherry Blossom Season,3200
Sakura-Wood Wall,5x cherry-blossom petal10x wood,Balloon during Cherry Blossom Season,3200
Sandy-Beach Flooring,1x sea snail1x venus comb1x sand dollar1x coral1x giant clam1x cowrie,Jock island resident Message in a bottle,4120
Sci-Fi Flooring,5x star fragment1x large star fragment,Celeste,7500
Sci-Fi Wall,5x star fragment1x large star fragment,Celeste,7500
Shell Rug,3x giant clam,Peppy island resident Message in a bottle,5400
Ski-Slope Flooring,8x snowflake,Balloon during Winter,3200
Ski-Slope Wall,8x snowflake,Balloon during Winter,3200
Snowflake Wall,12x snowflake,Balloon during Winter,4800
Stacked-Wood Wall,15x hardwood,Jock island resident Message in a bottle,1800
Starry Wall,5x star fragment1x large star fragment,Celeste,7500
Starry-Sands Flooring,3x summer shell1x sandy-beach flooring,Balloon during Summer,7720
Starry-Sky Wall,5x star fragment1x large star fragment,Celeste,7500
Steel Flooring,7x iron nugget,Smug island resident Message in a bottle,5250
Steel-Frame Wall,8x iron nugget,Smug island resident Message in a bottle,6000
Stone Wall,10x stone,Smug island resident Message in a bottle,1500
Tropical Vista,5x summer shell,Balloon during Summer,6000
Underwater Flooring,3x summer shell3x coral,Balloon during Summer,6600
Underwater Wall,3x summer shell5x coral,Balloon during Summer,8600
Water Flooring,6x summer shell,Balloon during Summer,7200
Wild-Wood Wall,15x wood,Cranky island resident Message in a bottle,1800
Wooden-Knot Wall,15x hardwood,Smug island resident Message in a bottle,1800
Wooden-Mosaic Wall,15x wood,Normal island resident Message in a bottle,1800
Woodland Wall,15x clump of weeds9x softwood,Normal island resident Message in a bottle,1380
