Recipe Name,Materials Needed [1],Obtained From [1],Item Sell Price [1],Unnamed: 6
Ornament Mobile,1x red ornament1x blue ornament1x gold ornament4x tree branch,Balloon during Festive Season,340,
Ornament Wreath,6x blue ornament2x gold ornament,Balloon during Festive Season,800,
Pansy Wreath,3x yellow pansies3x white pansies3x red pansies,"Tom Nook after receiving first three housing kits, if the native flower is pansies Any island resident Message in a bottle",720,
Paw-Print Doorplate,3x wood,Peppy island resident Message in a bottle,360,
Potted Ivy,5x clump of weeds5x clay,"Test Your DIY Skills from Nook's Cranny (2,680 )",1100,
Pretty Cosmos Wreath,3x orange cosmos3x pink cosmos3x red cosmos,Any island resident Message in a bottle,1200,
Pretty Tulip Wreath,3x orange tulips3x pink tulips3x purple tulips,Any island resident Message in a bottle,2400,
Purple Hyacinth Wreath,10x purple hyacinths,Any island resident Message in a bottle,4800,
Rose Wreath,3x red roses3x white roses3x yellow roses,"Tom Nook after receiving first three housing kits, if the native flower is roses Any island resident Message in a bottle",720,
Sagittarius Arrow,3x star fragment2x Sagittarius fragment2x gold nugget,Celeste November 23rd – December 21st,21750,
Shell Wreath,1x summer shell1x sea snail1x sand dollar1x coral1x giant clam1x cowrie,Isabelle during Summer Balloon during Summer,4720,
Snazzy Pansy Wreath,3x orange pansies3x blue pansies3x yellow pansies,Any island resident Message in a bottle,1200,
Snowflake Wreath,4x snowflake,Isabelle during Winter Balloon during Winter,1600,
Starry Garland,10x star fragment,Celeste,5000,
Timber Doorplate,2x wood1x pink roses,Snooty island resident Message in a bottle,400,
Tree'S Bounty Mobile,2x pine cone3x acorn3x tree branch,Balloon during Autumn,2030,
Tree Branch Wreath,10x tree branch,Sisterly island resident Message in a bottle,100,
Tulip Wreath,3x red tulips3x yellow tulips3x white tulips,"Tom Nook after receiving first three housing kits, if the native flower is tulips Any island resident Message in a bottle",720,
Windflower Wreath,3x red windflowers3x white windflowers3x orange windflowers,"Tom Nook after receiving first three housing kits, if the native flower is windflowers Any island resident Message in a bottle",720,
Wooden-Block Wall Clock,1x wooden-block toy2x softwood1x iron nugget,Peppy island resident Message in a bottle,1350,
Wooden-Plank Sign,5x hardwood,Cranky island resident Message in a bottle,600,
